username,timestamp,likes,comment_text,cleaned_tokens,tok_len,char_len,word_len
cajuncountry84,2023-02-12T18:37:43Z,0,"I ran the same code and it returned an external URL for Rihanna&#39;s artist page. No matter which way I try it, it won&#39;t return Beyonce. Weird. Not sure what I did wrong or how it keeps connecting Rihanna from Beyonce. I don&#39;t normally listen to either so it&#39;s certainly not some stray data throwing it off.","['ran', 'code', 'returned', 'external', 'url', 'rihanna', 'artist', 'page', 'matter', 'way', 'try', 'return', 'beyonce', 'weird', 'sure', 'wrong', 'keep', 'connecting', 'rihanna', 'beyonce', 'normally', 'listen', 'either', 'certainly', 'stray', 'data', 'throwing']",27,320,57
IsSheRG710,2023-02-12T15:15:37Z,170,"Absolutely love the tone and approach to this course, and thank you for making this free!","['absolutely', 'love', 'tone', 'approach', 'course', 'thank', 'making', 'free']",8,89,16
sabuein,2023-02-12T12:36:16Z,1,Thank you.,['thank'],1,10,2
emmanuelalbert8667,2023-02-12T03:03:58Z,0,Wish this was written with python,"['wish', 'written', 'python']",3,33,6
paskalsunari7499,2023-02-11T20:35:32Z,0,| jq <br>doesn&#39;t work on my computer 😂😂,"['work', 'computer']",2,43,8
7footmoustache,2023-02-13T01:53:33Z,0,What Operating System ?,"['operating', 'system']",2,23,4
NNNedlog,2023-02-11T20:33:37Z,1,Thanks for this awesome tutorial,"['thanks', 'awesome', 'tutorial']",3,32,5
lVaNeSsA90,2023-02-11T20:09:51Z,1,Amazing teacher ❤️ 👏,"['amazing', 'teacher']",2,20,4
JourneyOfCricket,2023-02-11T18:26:56Z,2,"Please add advance modern backend development with Nodejs and Mongodb, redis with advanced aggregation and all useful npm packages","['please', 'add', 'advance', 'modern', 'backend', 'development', 'nodejs', 'mongodb', 'redis', 'advanced', 'aggregation', 'useful', 'npm', 'package']",14,130,19
birsingh5388,2023-02-11T10:22:51Z,0,Is replit based on API? As we can see all the server code running on browser,"['replit', 'based', 'api', 'see', 'server', 'code', 'running', 'browser']",8,76,16
DrJohnPollard,2023-02-11T04:38:48Z,2,"I could use an API to abstract away the &quot;cutesy&quot; parts of this presentation which would cut it down at least 40% of the distractive nonsense based on what I&#39;ve seen so far. I also acknowledge that this could be valuable for some people,  but not me.","['could', 'use', 'api', 'abstract', 'away', 'quot', 'cutesy', 'quot', 'part', 'presentation', 'would', 'cut', 'least', 'distractive', 'nonsense', 'based', 'seen', 'far', 'also', 'acknowledge', 'could', 'valuable', 'people']",23,263,47
7footmoustache,2023-02-11T05:45:30Z,0,"I appreciate your feedback, and also appreciate you thinking about how others might need it. I hope it&#39;s not too much! Once you get out of conceptual town, I let the code keep interest. I&#39;m still dorky unfortunately 😅","['appreciate', 'feedback', 'also', 'appreciate', 'thinking', 'others', 'might', 'need', 'hope', 'much', 'get', 'conceptual', 'town', 'let', 'code', 'keep', 'interest', 'still', 'dorky', 'unfortunately']",20,225,39
arjunsagar130,2023-02-17T06:48:05Z,1,"@7footmoustache Thank you both for the above perspectives. At times even I felt like the whole video could be condensed to 60pc of what it is now,  but later I realized there are people who actually benefit from the leisurely pace of learning. Thank you Craig for the amazing video.","['footmoustache', 'thank', 'perspective', 'time', 'even', 'felt', 'like', 'whole', 'video', 'could', 'condensed', 'later', 'realized', 'people', 'actually', 'benefit', 'leisurely', 'pace', 'learning', 'thank', 'craig', 'amazing', 'video']",23,282,50
teclote,2023-02-11T04:35:43Z,0,Vernon Howard: &quot;All your costumes are put on in a moment of spiritual sleep.&quot;,"['vernon', 'howard', 'quot', 'costume', 'put', 'moment', 'spiritual', 'sleep', 'quot']",9,87,14
perschonca,2023-02-10T23:32:30Z,1,"got through the whole thing but when i try to view the index.html, the link to my picture is broken, and on the other hand... i really want a burrito.","['got', 'whole', 'thing', 'try', 'view', 'index', 'html', 'link', 'picture', 'broken', 'hand', 'really', 'want', 'burrito']",14,150,30
perschonca,2023-02-10T23:51:17Z,1,I found out my issue. I messed up the url in my src: &quot;&quot; url by putting an extra &#39;/&#39; -<i>_</i>-,"['found', 'issue', 'messed', 'url', 'src', 'quot', 'quot', 'url', 'putting', 'extra']",10,112,21
7footmoustache,2023-02-11T00:14:53Z,1,You deserve a burrito 🌯🌯🌯🌯🌯,"['deserve', 'burrito']",2,27,5
perschonca,2023-02-11T01:03:03Z,0,​@7footmoustache It&#39;s always exciting finding the solution to the error lol. <br><br>I hope there are intermediate videos to come. :) Thanks for everything.,"['footmoustache', 'always', 'exciting', 'finding', 'solution', 'error', 'lol', 'hope', 'intermediate', 'video', 'come', 'thanks', 'everything']",13,160,23
